Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,exp,K,Z,sigma_ed,sigma_iid,timestamp
0,0.3689305470190535,632.6222624629736,73178.92654146999,175307432355,exp1,5,15,1000.0,10,10-05-26-111252
1,0.5142516902274125,543.2885428890586,72813.84385097772,177591224773,exp1,5,15,1000.0,10,10-05-26-111252
2,0.6464735709895513,512.3241757974029,72225.56607797742,173162891006,exp1,5,15,1000.0,10,10-05-26-111252
3,0.6663721573448064,518.0298099294305,72223.94344676286,173775302246,exp1,5,15,1000.0,10,10-05-26-111252
4,0.5416026429010449,487.0425621047616,72561.07543688267,173457168420,exp1,5,15,1000.0,10,10-05-26-111252
5,0.7237630608481869,520.3587710857391,71120.59370242059,173326191508,exp1,5,15,1000.0,10,10-05-26-111252
6,0.7477335586969883,490.2312848716974,75007.96442106366,176248414267,exp1,5,15,1000.0,10,10-05-26-111252
7,0.7579133374308543,501.0325945913792,71394.0151501447,174530253386,exp1,5,15,1000.0,10,10-05-26-111252
8,0.7284496004917025,495.313729159534,75830.72345796973,175327416919,exp1,5,15,1000.0,10,10-05-26-111252
9,0.6681007990165949,526.825743727386,72035.69221310318,172660133355,exp1,5,15,1000.0,10,10-05-26-111252
10,0.7492701290719115,510.7254777103663,71272.29531481862,176116174098,exp1,5,15,1000.0,10,10-05-26-111252
11,0.7637907191149355,457.753162831068,75410.24580970407,174343845359,exp1,5,15,1000.0,10,10-05-26-111252
12,0.780001536570375,472.8102646768093,70318.7645347789,172793200390,exp1,5,15,1000.0,10,10-05-26-111252
13,0.7758912108174555,498.03101643919945,69799.4248457253,173464655024,exp1,5,15,1000.0,10,10-05-26-111252
14,0.717040565457898,526.1352146044374,70332.74759165943,176779427975,exp1,5,15,1000.0,10,10-05-26-111252
15,0.7600645359557467,567.6118535920978,73129.82132844627,175845074787,exp1,5,15,1000.0,10,10-05-26-111252
16,0.7811155500921942,514.4177498295903,72104.95994519442,175031777497,exp1,5,15,1000.0,10,10-05-26-111252
17,0.7841502765826674,511.9023686274886,73125.21579582244,173304061642,exp1,5,15,1000.0,10,10-05-26-111252
18,0.7646742470805162,462.24547643214464,71867.0133240521,174175926839,exp1,5,15,1000.0,10,10-05-26-111252
