,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,DOOR1SUM,UGASHERE,MONPOOL,RECBATH,MONTUB,FUELTUB,HEATHOME,DNTHEAT,THERMAIN,PROTHERM,EQUIPMUSE,TEMPHOME,TEMPGONE,TEMPNITE,EQUIPAUX,EQUIPAUXTYPE,FUELAUX,ATTCHEAT,GARGHEAT,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,CENACHP,AGECENAC,THERMAINAC,PROTHERMAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,TEMPGONEAC,TEMPNITEAC,ATTCCOOL,GARGCOOL,NUMCFAN,NUMFLOORFAN,NUMWHOLEFAN,NUMATTICFAN,NOTMOIST,USENOTMOIST,H2OHEATAPT,WHEATAGE,WHEATSIZ,MORETHAN1H2O,FUELH2O2,LGTINNUM,LGTIN4,LGTINCAN,LGTINCFL,LGTINLED,LGTINCNTL,LGTOUTNUM,LGTOUTCNTL,AUDIT,AUDITCHG,EELIGHTS,FREEAUDIT,REBATEAPP,RECYCAPP,TAXCREDITAPP,BENOTHER,ESCWASH,ESDISHW,ESDRYER,ESFREEZE,ESFRIG,ESLIGHT,ESWATER,ESWIN,SMARTTHERM,ELPAY,NGPAY,LPGPAY,FOPAY,SMARTMETER,INTDATA,INTDATAACC,HHSEX,HHAGE,EMPLOYHH,SDESCENT,HOUSEHOLDER_RACE,EDUCATION,NHSLDMEM,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,ENERGYASST11,ENERGYASST12,ENERGYASST13,ENERGYASST14,ENERGYASST15,ENERGYASSTOTH,SCALEB,SCALEG,SCALEE,PAYHELP,NOHEATBROKE,NOHEATEL,NOHEATNG,NOHEATBULK,NOHEATDAYS,NOHEATHELP,COLDMA,NOACBROKE,NOACEL,NOACDAYS,NOACHELP,HOTMA,USEEL,ELWARM,ELCOOL,ELWATER,ELFOOD,ELOTHER,USENG,UGWARM,UGWATER,UGCOOK,UGOTH,USELP,LPWARM,LPWATER,LPCOOK,LPOTHER,USEFO,FOWARM,FOWATER,FOOTHER,USEWOOD,WOODLOGS,WDPELLET,WDOTHER,WDWARM,WDWATER,USESOLAR,SOLWATER,SOLOTHER,TOTCSQFT,TOTHSQFT,TOTSQFT_EN,TOTUCSQFT,TOTUSQFT,CDD80,DBT1,ZWOODAMT,ZPELLETAMT,ZELAMOUNT,ZNGAMOUNT,ZFOAMOUNT,ZLPAMOUNT,REL_TOTALBTU,STUDIO_Yes,SWIMPOOL_Yes,ATTICFIN_Yes,BASEHEAT_Yes,CLIMATE_REGION_PUB_Cold/Very Cold,CLIMATE_REGION_PUB_Hot-Dry/Mixed-Dry,CLIMATE_REGION_PUB_Hot-Humid,CLIMATE_REGION_PUB_Marine,CLIMATE_REGION_PUB_Mixed-Humid,WINFRAME_Composite,WINFRAME_Fiberglass,WINFRAME_Metal (aluminum),WINFRAME_Vinyl,WINFRAME_Wood,IECC_CLIMATE_PUB_1A-2A,IECC_CLIMATE_PUB_2B,IECC_CLIMATE_PUB_3A,IECC_CLIMATE_PUB_3B-4B,IECC_CLIMATE_PUB_3C,IECC_CLIMATE_PUB_4A,IECC_CLIMATE_PUB_4C,IECC_CLIMATE_PUB_5A,IECC_CLIMATE_PUB_5B-5C,IECC_CLIMATE_PUB_6A-6B,IECC_CLIMATE_PUB_7A-7B-7AK-8AK,STORIES_Four or more stories,STORIES_One story,STORIES_Split-level,STORIES_Three stories,STORIES_Two stories,POOL_Yes,TYPEGLASS_Double-pane glass,TYPEGLASS_Single-pane glass,TYPEGLASS_Triple-pane glass,KOWNRENT_Occupied without payment of rent,KOWNRENT_Owned or being bought by someone in your household,KOWNRENT_Rented,ADQINSUL_Adequately insulated,ADQINSUL_Not insulated,ADQINSUL_Poorly insulated,ADQINSUL_Well insulated,"EQUIPM_Built-in electric units installed in walls, ceilings, baseboards, or floors",EQUIPM_Built-in floor/wall pipeless furnace,"EQUIPM_Built-in room heater burning gas, oil, or kerosene",EQUIPM_Central furnace,EQUIPM_Fireplace,EQUIPM_Heat pump,EQUIPM_Portable electric heaters,EQUIPM_Some other equipment,EQUIPM_Steam/hot water system with radiators or pipes,EQUIPM_Wood-burning stove (cordwood or pellets),DIVISION_ Pacific ,DIVISION_East North Central,DIVISION_East South Central,DIVISION_Middle Atlantic,DIVISION_Mountain North,DIVISION_Mountain South,DIVISION_New England,DIVISION_South Atlantic,DIVISION_West North Central,DIVISION_West South Central,FUELHEAT_Electricity,FUELHEAT_Fuel oil/kerosene,FUELHEAT_Natural gas from underground pipes,FUELHEAT_Not Applicable,FUELHEAT_Propane (bottled gas),FUELHEAT_Some other fuel,FUELHEAT_Wood (cordwood or pellets),HIGHCEIL_Yes,METROMICRO_METRO,METROMICRO_MICRO,METROMICRO_NONE,BASECOOL_Yes,YEARMADERANGE_1950 to 1959,YEARMADERANGE_1960 to 1969,YEARMADERANGE_1970 to 1979,YEARMADERANGE_1980 to 1989,YEARMADERANGE_1990 to 1999,YEARMADERANGE_2000 to 2009,YEARMADERANGE_2010 to 2015,YEARMADERANGE_Before 1950,PRKGPLC1_Yes,SIZEOFGARAGE_One-car garage,SIZEOFGARAGE_Three-or-more-car garage,SIZEOFGARAGE_Two-car garage,REGIONC_Midwest,REGIONC_Northeast,REGIONC_South,REGIONC_West,ROOFTYPE_Ceramic or clay tiles,ROOFTYPE_Concrete tiles,ROOFTYPE_Metal,ROOFTYPE_Other,ROOFTYPE_Shingles (composition or asphalt)) ,ROOFTYPE_Slate or synthetic shake,ROOFTYPE_Wood shingles/shakes,WALLTYPE_0ther,WALLTYPE_Brick,WALLTYPE_Concrete or concrete block,WALLTYPE_Shingle (composition),WALLTYPE_Siding,WALLTYPE_Stone,WALLTYPE_Stucco,WALLTYPE_Wood,CELLAR_Yes,OCCUPYYRANGE_1950 to 1959,OCCUPYYRANGE_1960 to 1969,OCCUPYYRANGE_1970 to 1979,OCCUPYYRANGE_1980 to 1989,OCCUPYYRANGE_1990 to 1999,OCCUPYYRANGE_2000 to 2009,OCCUPYYRANGE_2010 to 2015,OCCUPYYRANGE_Before 1950,FUELH2O_Electricity,FUELH2O_Fuel oil/kerosene,FUELH2O_Natural gas from underground pipes,FUELH2O_Propane (bottled gas),FUELH2O_Solar,FUELH2O_Some other fuel,FUELH2O_Wood (cordwood or pellets) ,BASEFIN_Yes,EQUIPAGE_10 to 14 years old,EQUIPAGE_15 to 19 years old,EQUIPAGE_2 to 4 years old,EQUIPAGE_20 years old,EQUIPAGE_5 to 9 years old,EQUIPAGE_Less than 2 years old,DRAFTY_All the time,DRAFTY_Most of the time,DRAFTY_Never,DRAFTY_Some of the time,UATYP10_C,UATYP10_R,UATYP10_U,WINDOWS_50,WINDOWS_ 30 or more,WINDOWS_1 to 2,WINDOWS_10 to 15,"WINDOWS_16 to 19, 50:20 to 29",WINDOWS_3 to 5,WINDOWS_6 to 9,FUELPOOL_Electricity,FUELPOOL_Fuel oil/kerosene,FUELPOOL_Natural gas from underground pipes,FUELPOOL_Propane (bottled gas),FUELPOOL_Solar,ATTIC_Yes,TYPEHUQ_Apartment in a building with 2 to 4 units,TYPEHUQ_Apartment in a building with 5 or more units,TYPEHUQ_Mobile home,TYPEHUQ_Single-family detached house,TYPEHUQ_single- family attached house
824,2,1,0,2,4,0,1,-2,0,-2,-2,1,-2,0,-2,2,70,65,75,0,-2,-2,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,4,2,4,75,75,-2,-2,1,1,-2,-2,0,-2,-2,3,1,0,-2,1,4,2,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-8,-2,-8,-2,-8,-8,-8,-8,-2,1,-2,-2,-2,0,-2,-2,1,33,1,0,1,2,2,1,1,5,1,0,-2,-2,-2,-2,-2,-2,2,0,3,0,1,0,0,0,1,0,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,768,768,768,0,0,181,92.9,-2,-2,0,-2,-2,-2,96.608,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
825,1,1,0,3,4,1,1,-2,0,-2,-2,1,-2,1,0,4,75,75,70,1,1,5,-2,-2,0,-2,1,1,0,2,1,0,4,-2,-2,-2,80,65,-2,-2,0,2,-2,-2,0,-2,1,5,1,0,-2,1,1,1,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,0,1,1,-2,-2,0,-2,-2,1,50,1,0,2,2,1,1,0,3,2,0,-2,-2,-2,-2,-2,-2,0,1,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1047,1047,1047,0,0,159,91.4,-2,-2,0,0,-2,-2,30438.159,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
826,2,1,0,1,3,0,1,-2,0,-2,-2,1,-2,0,-2,4,55,50,65,0,-2,-2,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,1,3,4,75,65,-2,-2,0,0,-2,-2,0,-2,2,2,-2,-2,-2,1,6,4,2,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,0,-2,1,-2,-2,-2,1,-9,-9,2,24,1,0,1,4,2,2,0,5,1,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,329,986,986,657,0,0,88.8,-2,-2,0,-2,-2,-2,17646.087,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
827,4,2,1,5,9,0,1,-2,0,-2,-2,1,-2,1,1,3,70,65,68,0,-2,-2,0,0,0,-2,1,1,0,42,1,1,3,-2,-2,-2,72,68,0,0,5,0,0,2,0,-2,-2,3,3,0,-2,3,10,4,2,4,0,2,1,0,-2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,-2,-2,1,0,-2,2,58,1,1,1,5,2,2,0,4,8,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1758,1758,2312,1204,1204,121,90.4,-2,-2,0,0,-2,-2,62929.607,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
828,3,2,0,2,5,1,0,-2,0,-2,-2,1,-2,1,0,2,74,76,74,1,1,5,-2,0,1,6,1,2,-2,-2,-2,-2,-2,2,1,2,76,71,-2,0,0,1,0,0,0,-2,-2,1,2,0,-2,2,3,4,2,0,0,1,0,0,-2,-9,-9,-9,-9,-9,0,1,1,1,-2,1,0,1,0,0,1,-2,-2,-2,0,-2,-2,2,50,1,0,1,2,3,3,0,5,2,1,0,1,0,0,0,0,0,0,0,-2,0,0,0,0,-2,-2,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,562,1404,1404,1242,400,446,93.0,-2,-2,0,-2,-2,-2,39718.12,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
829,4,3,1,4,8,0,0,-2,0,-2,-2,1,-2,1,1,1,72,72,72,1,9,2,-2,-2,0,-2,1,1,1,41,1,1,1,-2,-2,-2,76,76,-2,-2,5,0,0,1,0,-2,-2,41,2,0,-2,3,4,2,4,0,1,2,1,0,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,-2,1,-2,0,-2,-2,1,75,0,0,1,3,1,1,0,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,2676,2676,2676,0,0,56,93.4,-2,-2,0,-2,-2,1,56098.02700000001,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
830,2,1,0,3,5,0,1,-2,0,-2,-2,1,-2,1,0,1,70,70,70,0,-2,-2,0,-2,1,4,1,1,0,41,1,0,1,-2,-2,-2,74,74,0,-2,1,0,0,1,0,-2,-2,2,1,0,-2,2,4,0,0,1,0,2,0,0,-2,0,0,0,0,0,0,1,-2,0,-2,0,1,0,0,0,1,1,-2,-2,1,-9,-9,2,32,1,0,1,2,2,2,0,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1868,1868,1868,0,0,103,89.5,-2,-2,0,0,-2,-2,93288.924,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
831,2,2,0,3,5,0,0,-2,0,-2,-2,1,-2,1,0,2,73,70,70,0,-2,-2,-2,0,0,-2,1,1,1,5,1,0,2,-2,-2,-2,75,65,-2,0,5,0,0,0,0,-2,-2,2,3,0,-2,1,5,2,4,0,0,1,1,0,-2,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,-2,-2,-2,0,-2,-2,2,77,2,1,1,3,2,2,0,5,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1398,1398,1398,400,400,1143,108.6,-2,-2,0,-2,-2,-2,9006.687,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
832,3,2,0,4,7,1,0,-2,0,-2,-2,1,-2,1,1,1,70,60,68,0,-2,-2,0,0,0,-2,1,1,1,41,1,0,1,-2,-2,-2,83,79,0,0,5,1,0,0,1,3,-2,41,3,0,-2,2,2,4,2,0,0,1,0,0,-2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-2,-2,-2,0,-2,-2,1,68,0,0,1,4,2,2,0,5,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1920,1920,3888,2368,2368,261,91.2,-2,-2,0,-2,-2,-2,37230.153999999995,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
833,0,1,0,1,1,0,0,-2,0,-2,-2,1,-2,0,-2,1,68,50,64,0,-2,-2,-2,-2,0,-2,1,2,-2,-2,-2,-2,-2,1,2,1,72,72,-2,-2,2,1,-2,-2,0,-2,2,1,-2,-2,-2,1,0,3,3,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-8,-2,-8,-8,-8,-8,-8,-8,-2,1,-2,-2,-2,0,-2,-2,2,69,0,0,1,1,1,1,0,5,1,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,731,731,731,0,0,25,91.0,-2,-2,0,-2,-2,-2,29759.328,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
834,4,1,0,3,7,0,0,-2,0,-2,-2,1,-2,0,-2,4,72,50,68,1,1,5,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,-2,-2,41,1,0,-2,1,0,0,1,0,0,0,-2,0,-2,0,0,0,0,0,0,-2,-2,-2,-2,-9,-9,-9,-9,-2,1,-2,-2,-2,1,-9,-9,2,61,0,0,2,2,1,1,0,5,1,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1680,1680,1680,0,380,92.7,0,0,0,-2,-2,-2,25079.662,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
835,1,1,0,4,5,0,0,9,0,-2,-2,1,-2,1,0,1,70,68,70,1,1,5,-2,-2,0,-2,1,1,1,41,1,0,1,-2,-2,-2,81,81,-2,-2,1,1,0,0,0,-2,-2,3,2,0,-2,2,1,4,2,0,1,2,1,0,-2,-8,-8,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,0,1,-2,-2,-2,1,0,-2,1,67,0,0,1,2,1,1,0,5,1,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1612,1612,1612,0,0,372,93.0,-2,-2,0,-2,-2,-2,28029.746,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
836,1,1,0,3,4,0,1,-2,0,-2,-2,1,-2,1,1,4,72,72,72,0,-2,-2,-2,-2,0,-2,1,1,0,1,1,1,4,-2,-2,-2,70,68,-2,-2,0,2,-2,-2,0,-2,1,42,2,0,-2,1,4,3,0,3,0,-2,-2,-9,-9,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,1,-2,-2,-2,-9,-9,-9,2,40,1,0,7,3,1,1,0,5,3,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,670,670,670,0,0,6,88.0,-2,-2,1,-2,-2,-2,11281.990000000002,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
837,3,2,0,4,7,0,1,-2,0,-2,-2,1,-2,1,0,1,75,75,75,0,-2,-2,0,0,0,-2,1,1,0,3,1,0,1,-2,-2,-2,73,73,0,0,5,0,0,0,0,-2,-2,5,3,0,-2,2,3,2,4,4,0,1,1,0,-2,0,0,0,0,0,0,1,-2,1,1,1,1,1,0,0,1,1,-2,-2,0,-2,-2,1,51,1,0,5,3,4,3,1,5,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,1670,1670,3590,2170,2170,238,94.8,-2,-2,0,0,-2,-2,36347.81799999999,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
838,2,2,0,5,7,0,0,-2,0,-2,-2,1,-2,1,0,1,65,78,73,0,-2,-2,-2,-2,0,-2,1,3,0,3,1,0,1,1,1,1,78,73,-2,-2,5,0,-2,-2,0,-2,-2,1,1,0,-2,2,0,2,4,0,0,1,0,0,-2,0,0,0,0,0,0,1,-2,1,-2,1,1,1,0,0,1,-2,-2,-2,0,-2,-2,1,24,0,0,7,2,3,2,1,0,2,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,888,888,888,0,0,440,92.5,-2,-2,0,-2,-2,-2,40728.806000000004,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
