round,namespace,pod_name,container_name,joules,exp,K,Z,sigma_ed,sigma_iid,timestamp,anomaly_score
14,api-gateway,api-gateway-6bf76d45b7-f8b7f,api-gateway,325.21200000000044,exp1,5,15,1000.0,10,08-05-26-123027,0.03850592715109269
2,api-gateway,api-gateway-6bf76d45b7-f8b7f,linkerd-proxy,339.5490000000002,exp1,5,15,1000.0,10,08-05-26-123027,0.03605141698601616
14,api-gateway,api-gateway-6bf76d45b7-f8b7f,sidecar,240.70799999999872,exp1,5,15,1000.0,10,08-05-26-123027,0.05019569084488157
24,api-gateway,api-gateway-6bf76d45b7-ldtl9,api-gateway,342.70200000000114,exp1,5,15,1000.0,10,09-05-26-141047,0.0314090001122285
24,api-gateway,api-gateway-6bf76d45b7-ldtl9,linkerd-proxy,352.3590000000022,exp1,5,15,1000.0,10,09-05-26-141047,0.03304259788234204
0,api-gateway,api-gateway-6bf76d45b7-ldtl9,sidecar,262.66200000000003,exp1,5,15,1000.0,10,09-05-26-141047,0.05920387530110083
23,api-gateway,api-gateway-6bf76d45b7-zh2zg,api-gateway,340.7430000000004,exp1,5,15,1000.0,10,10-05-26-111252,0.03455202690436582
12,api-gateway,api-gateway-6bf76d45b7-zh2zg,linkerd-proxy,348.1859999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.03155925551752595
6,api-gateway,api-gateway-6bf76d45b7-zh2zg,sidecar,244.78200000000007,exp1,5,15,1000.0,10,10-05-26-111252,0.06067828298007363
19,client1,client1-7b9db886dd-5db7j,client1,599.9220000000005,exp1,5,15,1000.0,10,10-05-26-111252,0.039783791069546465
19,client1,client1-7b9db886dd-5db7j,linkerd-proxy,597.6000000000022,exp1,5,15,1000.0,10,10-05-26-111252,0.04019750998808966
19,client1,client1-7b9db886dd-5db7j,sidecar,494.214,exp1,5,15,1000.0,10,10-05-26-111252,0.0495087301682203
11,client1,client1-7b9db886dd-cqsdh,client1,609.9840000000004,exp1,5,15,1000.0,10,08-05-26-123027,0.0372794678725642
11,client1,client1-7b9db886dd-cqsdh,linkerd-proxy,608.9160000000011,exp1,5,15,1000.0,10,08-05-26-123027,0.0373936471768746
18,client1,client1-7b9db886dd-cqsdh,sidecar,538.1340000000018,exp1,5,15,1000.0,10,08-05-26-123027,0.04514938565840815
15,client1,client1-7b9db886dd-t6thl,client1,609.4950000000008,exp1,5,15,1000.0,10,09-05-26-141047,0.0377352156239672
15,client1,client1-7b9db886dd-t6thl,linkerd-proxy,610.9860000000008,exp1,5,15,1000.0,10,09-05-26-141047,0.03725196917431331
15,client1,client1-7b9db886dd-t6thl,sidecar,560.8019999999997,exp1,5,15,1000.0,10,09-05-26-141047,0.04142038231922329
11,client1,maurits-dijk-3efc04ddclient11-8qttp,hfl-train,1074.7470000000012,exp1,5,15,1000.0,10,08-05-26-123027,0.0286162692954767
11,client1,maurits-dijk-3efc04ddclient11-8qttp,hfl-train-model,603.230999999998,exp1,5,15,1000.0,10,08-05-26-123027,0.03765081622226654
13,client1,maurits-dijk-3efc04ddclient11-8qttp,sidecar,729.9210000000021,exp1,5,15,1000.0,10,08-05-26-123027,0.0305319459784541
14,client1,maurits-dijk-ab40b6adclient11-5gq5d,hfl-train,1096.5509999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.029133984144963043
19,client1,maurits-dijk-ab40b6adclient11-5gq5d,hfl-train-model,591.3780000000006,exp1,5,15,1000.0,10,10-05-26-111252,0.04064814383102361
9,client1,maurits-dijk-ab40b6adclient11-5gq5d,sidecar,455.2739999999994,exp1,5,15,1000.0,10,10-05-26-111252,0.056361251151949704
15,client1,maurits-dijk-ac6ea51cclient11-svqgc,hfl-train,1113.7589999999982,exp1,5,15,1000.0,10,09-05-26-141047,0.02130778910440992
15,client1,maurits-dijk-ac6ea51cclient11-svqgc,hfl-train-model,605.1929999999993,exp1,5,15,1000.0,10,09-05-26-141047,0.03757055214813182
2,client1,maurits-dijk-ac6ea51cclient11-svqgc,sidecar,451.3259999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.06148742382941261
2,client10,client10-694b6b97b4-cssvh,client10,664.7160000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.04077468536965834
2,client10,client10-694b6b97b4-cssvh,linkerd-proxy,664.6200000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.04076430757821514
21,client10,client10-694b6b97b4-cssvh,sidecar,586.2959999999985,exp1,5,15,1000.0,10,08-05-26-123027,0.04401770152960413
6,client10,client10-694b6b97b4-jlg2c,client10,641.4660000000003,exp1,5,15,1000.0,10,09-05-26-141047,0.04270106187367656
6,client10,client10-694b6b97b4-jlg2c,linkerd-proxy,641.2979999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.04272116868280973
12,client10,client10-694b6b97b4-jlg2c,sidecar,562.9050000000007,exp1,5,15,1000.0,10,09-05-26-141047,0.0422914336110726
17,client10,client10-694b6b97b4-sfvtb,client10,651.3359999999993,exp1,5,15,1000.0,10,10-05-26-111252,0.03683020279241836
17,client10,client10-694b6b97b4-sfvtb,linkerd-proxy,651.2909999999993,exp1,5,15,1000.0,10,10-05-26-111252,0.03683228396494323
17,client10,client10-694b6b97b4-sfvtb,sidecar,649.244999999999,exp1,5,15,1000.0,10,10-05-26-111252,0.03690811155158458
18,client11,client11-565c48c7c7-24jlj,client11,674.9340000000011,exp1,5,15,1000.0,10,08-05-26-123027,0.03517075234245781
18,client11,client11-565c48c7c7-24jlj,linkerd-proxy,674.7150000000001,exp1,5,15,1000.0,10,08-05-26-123027,0.03515671114891064
10,client11,client11-565c48c7c7-24jlj,sidecar,902.8349999999992,exp1,5,15,1000.0,10,08-05-26-123027,0.05129995733294143
17,client11,client11-565c48c7c7-c968c,client11,1004.625,exp1,5,15,1000.0,10,09-05-26-141047,0.044143085577023844
17,client11,client11-565c48c7c7-c968c,linkerd-proxy,1004.4239999999992,exp1,5,15,1000.0,10,09-05-26-141047,0.0441615183282392
22,client11,client11-565c48c7c7-c968c,sidecar,919.6800000000004,exp1,5,15,1000.0,10,09-05-26-141047,0.05502589168668601
4,client11,client11-565c48c7c7-wntg2,client11,655.6229999999991,exp1,5,15,1000.0,10,10-05-26-111252,0.03735288333167311
4,client11,client11-565c48c7c7-wntg2,linkerd-proxy,655.4850000000001,exp1,5,15,1000.0,10,10-05-26-111252,0.03733861305201017
3,client11,client11-565c48c7c7-wntg2,sidecar,858.9809999999998,exp1,5,15,1000.0,10,10-05-26-111252,0.0406514300836924
4,client12,client12-79bc8d5846-5wths,client12,643.4759999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.042379337699076564
4,client12,client12-79bc8d5846-5wths,linkerd-proxy,643.2509999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.042417605026150884
4,client12,client12-79bc8d5846-5wths,sidecar,641.7089999999994,exp1,5,15,1000.0,10,10-05-26-111252,0.04238243400665012
16,client12,client12-79bc8d5846-dckbb,client12,640.3650000000016,exp1,5,15,1000.0,10,09-05-26-141047,0.04032795484750609
16,client12,client12-79bc8d5846-dckbb,linkerd-proxy,640.3799999999992,exp1,5,15,1000.0,10,09-05-26-141047,0.04029933467792002
4,client12,client12-79bc8d5846-dckbb,sidecar,487.67999999999984,exp1,5,15,1000.0,10,09-05-26-141047,0.061065330223911835
6,client12,client12-79bc8d5846-f96wp,client12,673.8599999999997,exp1,5,15,1000.0,10,08-05-26-123027,0.035849325115266645
6,client12,client12-79bc8d5846-f96wp,linkerd-proxy,673.8690000000006,exp1,5,15,1000.0,10,08-05-26-123027,0.03583432629169178
6,client12,client12-79bc8d5846-f96wp,sidecar,510.1739999999991,exp1,5,15,1000.0,10,08-05-26-123027,0.05649565297329895
22,client13,client13-7bf86f4f87-58vpv,client13,623.5740000000005,exp1,5,15,1000.0,10,08-05-26-123027,0.03268361416279933
22,client13,client13-7bf86f4f87-58vpv,linkerd-proxy,619.0920000000006,exp1,5,15,1000.0,10,08-05-26-123027,0.033034132644936126
4,client13,client13-7bf86f4f87-58vpv,sidecar,501.462,exp1,5,15,1000.0,10,08-05-26-123027,0.048999349748968996
8,client13,client13-7bf86f4f87-9hvqk,client13,603.6509999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.03776455289418712
8,client13,client13-7bf86f4f87-9hvqk,linkerd-proxy,599.6610000000001,exp1,5,15,1000.0,10,09-05-26-141047,0.03800331323341122
8,client13,client13-7bf86f4f87-9hvqk,sidecar,516.8580000000002,exp1,5,15,1000.0,10,09-05-26-141047,0.044721339385931036
19,client13,client13-7bf86f4f87-ps4kk,client13,624.6840000000011,exp1,5,15,1000.0,10,10-05-26-111252,0.032811569355994025
19,client13,client13-7bf86f4f87-ps4kk,linkerd-proxy,622.2780000000002,exp1,5,15,1000.0,10,10-05-26-111252,0.03261652249398503
8,client13,client13-7bf86f4f87-ps4kk,sidecar,538.664999999999,exp1,5,15,1000.0,10,10-05-26-111252,0.040358568715953225
22,client13,maurits-dijk-3efc04ddclient131-pcg2h,hfl-train,1308.4379999999946,exp1,5,15,1000.0,10,08-05-26-123027,0.01871093042035779
22,client13,maurits-dijk-3efc04ddclient131-pcg2h,hfl-train-model,616.1939999999995,exp1,5,15,1000.0,10,08-05-26-123027,0.03310788918749716
4,client13,maurits-dijk-3efc04ddclient131-pcg2h,sidecar,535.3950000000004,exp1,5,15,1000.0,10,08-05-26-123027,0.0431740358069041
19,client13,maurits-dijk-ab40b6adclient131-c49n6,hfl-train,1318.6259999999966,exp1,5,15,1000.0,10,10-05-26-111252,0.01657203525258419
19,client13,maurits-dijk-ab40b6adclient131-c49n6,hfl-train-model,618.9449999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.032783821622202836
3,client13,maurits-dijk-ab40b6adclient131-c49n6,sidecar,585.6360000000004,exp1,5,15,1000.0,10,10-05-26-111252,0.030541541352597235
8,client13,maurits-dijk-ac6ea51cclient131-xw9q4,hfl-train,1293.5909999999983,exp1,5,15,1000.0,10,09-05-26-141047,0.019042533929238686
8,client13,maurits-dijk-ac6ea51cclient131-xw9q4,hfl-train-model,596.6610000000001,exp1,5,15,1000.0,10,09-05-26-141047,0.038115351650806956
8,client13,maurits-dijk-ac6ea51cclient131-xw9q4,sidecar,436.3890000000001,exp1,5,15,1000.0,10,09-05-26-141047,0.04905823638136342
24,client14,client14-856b5b5576-2rtt6,client14,684.1889999999985,exp1,5,15,1000.0,10,09-05-26-141047,0.03408132677252251
24,client14,client14-856b5b5576-2rtt6,linkerd-proxy,683.9249999999993,exp1,5,15,1000.0,10,09-05-26-141047,0.03410152927104346
24,client14,client14-856b5b5576-2rtt6,sidecar,682.5900000000001,exp1,5,15,1000.0,10,09-05-26-141047,0.03408749031738548
15,client14,client14-856b5b5576-b4rlq,client14,674.6040000000012,exp1,5,15,1000.0,10,08-05-26-123027,0.03828588386371645
15,client14,client14-856b5b5576-b4rlq,linkerd-proxy,674.3310000000001,exp1,5,15,1000.0,10,08-05-26-123027,0.03829558288945631
15,client14,client14-856b5b5576-b4rlq,sidecar,673.0110000000022,exp1,5,15,1000.0,10,08-05-26-123027,0.03830846869110935
12,client14,client14-856b5b5576-djw4c,client14,695.0429999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.029332479707852854
12,client14,client14-856b5b5576-djw4c,linkerd-proxy,694.8449999999993,exp1,5,15,1000.0,10,10-05-26-111252,0.029329626426676303
1,client14,client14-856b5b5576-djw4c,sidecar,638.5710000000001,exp1,5,15,1000.0,10,10-05-26-111252,0.041513020099690906
7,client15,client15-79c969ddf-4l6p9,client15,695.9430000000002,exp1,5,15,1000.0,10,08-05-26-123027,0.02799495276410613
7,client15,client15-79c969ddf-4l6p9,linkerd-proxy,695.7509999999993,exp1,5,15,1000.0,10,08-05-26-123027,0.02798918673662229
0,client15,client15-79c969ddf-4l6p9,sidecar,619.578,exp1,5,15,1000.0,10,08-05-26-123027,0.04533069934300496
10,client15,client15-79c969ddf-krwzp,client15,661.9139999999989,exp1,5,15,1000.0,10,09-05-26-141047,0.03823113357853419
10,client15,client15-79c969ddf-krwzp,linkerd-proxy,661.7309999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.038233499320728004
10,client15,client15-79c969ddf-krwzp,sidecar,660.3629999999994,exp1,5,15,1000.0,10,09-05-26-141047,0.03747993973775518
22,client15,client15-79c969ddf-mtzb8,client15,662.864999999998,exp1,5,15,1000.0,10,10-05-26-111252,0.04133079458105979
22,client15,client15-79c969ddf-mtzb8,linkerd-proxy,662.5710000000036,exp1,5,15,1000.0,10,10-05-26-111252,0.04135143313899367
22,client15,client15-79c969ddf-mtzb8,sidecar,661.3679999999986,exp1,5,15,1000.0,10,10-05-26-111252,0.03897731885856315
15,client16,client16-6dc7f87f54-7qgzx,client16,667.9409999999989,exp1,5,15,1000.0,10,10-05-26-111252,0.03696390140978001
15,client16,client16-6dc7f87f54-7qgzx,linkerd-proxy,667.6800000000021,exp1,5,15,1000.0,10,10-05-26-111252,0.036978016626454724
15,client16,client16-6dc7f87f54-7qgzx,sidecar,666.4290000000001,exp1,5,15,1000.0,10,10-05-26-111252,0.03698856678227963
16,client16,client16-6dc7f87f54-b4mcz,client16,705.164999999999,exp1,5,15,1000.0,10,09-05-26-141047,0.029027682509541047
16,client16,client16-6dc7f87f54-b4mcz,linkerd-proxy,705.2850000000017,exp1,5,15,1000.0,10,09-05-26-141047,0.029019282987889194
16,client16,client16-6dc7f87f54-b4mcz,sidecar,703.5029999999988,exp1,5,15,1000.0,10,09-05-26-141047,0.02894841971515727
18,client16,client16-6dc7f87f54-wnk56,client16,674.4419999999991,exp1,5,15,1000.0,10,08-05-26-123027,0.03694491437636596
18,client16,client16-6dc7f87f54-wnk56,linkerd-proxy,674.1959999999999,exp1,5,15,1000.0,10,08-05-26-123027,0.03695701743734145
18,client16,client16-6dc7f87f54-wnk56,sidecar,672.840000000002,exp1,5,15,1000.0,10,08-05-26-123027,0.036956440499431226
16,client17,client17-69b85b5ccf-6n9d5,client17,599.121000000001,exp1,5,15,1000.0,10,10-05-26-111252,0.04016696760475841
16,client17,client17-69b85b5ccf-6n9d5,linkerd-proxy,593.5650000000005,exp1,5,15,1000.0,10,10-05-26-111252,0.04093374645352066
16,client17,client17-69b85b5ccf-6n9d5,sidecar,487.70700000000033,exp1,5,15,1000.0,10,10-05-26-111252,0.052040379829874694
13,client17,client17-69b85b5ccf-ftp6g,client17,604.6020000000008,exp1,5,15,1000.0,10,08-05-26-123027,0.0392388544269566
13,client17,client17-69b85b5ccf-ftp6g,linkerd-proxy,600.4410000000007,exp1,5,15,1000.0,10,08-05-26-123027,0.03964298587428752
13,client17,client17-69b85b5ccf-ftp6g,sidecar,477.3150000000005,exp1,5,15,1000.0,10,08-05-26-123027,0.05193706187503072
10,client17,client17-69b85b5ccf-ztdgs,client17,576.1739999999991,exp1,5,15,1000.0,10,09-05-26-141047,0.04202299822441852
10,client17,client17-69b85b5ccf-ztdgs,linkerd-proxy,574.4850000000006,exp1,5,15,1000.0,10,09-05-26-141047,0.04182218902377066
10,client17,client17-69b85b5ccf-ztdgs,sidecar,466.0349999999989,exp1,5,15,1000.0,10,09-05-26-141047,0.05167249936455487
7,client17,maurits-dijk-3efc04ddclient171-5cjjt,hfl-train,1077.7080000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.028812175565985476
13,client17,maurits-dijk-3efc04ddclient171-5cjjt,hfl-train-model,597.6419999999998,exp1,5,15,1000.0,10,08-05-26-123027,0.03970104149451592
7,client17,maurits-dijk-3efc04ddclient171-5cjjt,sidecar,397.47000000000025,exp1,5,15,1000.0,10,08-05-26-123027,0.058012344494285384
16,client17,maurits-dijk-ab40b6adclient171-b9jp7,hfl-train,1069.8150000000023,exp1,5,15,1000.0,10,10-05-26-111252,0.02693974593074791
16,client17,maurits-dijk-ab40b6adclient171-b9jp7,hfl-train-model,590.6700000000001,exp1,5,15,1000.0,10,10-05-26-111252,0.04114483932808857
10,client17,maurits-dijk-ab40b6adclient171-b9jp7,sidecar,509.1810000000005,exp1,5,15,1000.0,10,10-05-26-111252,0.04365430527210426
10,client17,maurits-dijk-ac6ea51cclient171-pkwst,hfl-train,1037.5499999999993,exp1,5,15,1000.0,10,09-05-26-141047,0.03060861364397796
10,client17,maurits-dijk-ac6ea51cclient171-pkwst,hfl-train-model,571.4970000000003,exp1,5,15,1000.0,10,09-05-26-141047,0.041957756317910405
4,client17,maurits-dijk-ac6ea51cclient171-pkwst,sidecar,478.66799999999967,exp1,5,15,1000.0,10,09-05-26-141047,0.0380263615955552
3,client18,client18-69db77c748-gtfwt,client18,665.0490000000004,exp1,5,15,1000.0,10,09-05-26-141047,0.03967443230959719
3,client18,client18-69db77c748-gtfwt,linkerd-proxy,664.8509999999997,exp1,5,15,1000.0,10,09-05-26-141047,0.039689584008634704
3,client18,client18-69db77c748-gtfwt,sidecar,663.5370000000003,exp1,5,15,1000.0,10,09-05-26-141047,0.039694244385113986
9,client18,client18-69db77c748-kzztd,client18,699.6240000000016,exp1,5,15,1000.0,10,10-05-26-111252,0.031263209904265926
9,client18,client18-69db77c748-kzztd,linkerd-proxy,699.3779999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.031275077860936196
9,client18,client18-69db77c748-kzztd,sidecar,698.1600000000008,exp1,5,15,1000.0,10,10-05-26-111252,0.0312555428551847
18,client18,client18-69db77c748-xpdq5,client18,644.2259999999987,exp1,5,15,1000.0,10,08-05-26-123027,0.04377726969129478
18,client18,client18-69db77c748-xpdq5,linkerd-proxy,644.0490000000009,exp1,5,15,1000.0,10,08-05-26-123027,0.04379266553806299
18,client18,client18-69db77c748-xpdq5,sidecar,642.4619999999995,exp1,5,15,1000.0,10,08-05-26-123027,0.04386752733094146
23,client19,client19-56fccdb4d9-26bzf,client19,642.0930000000008,exp1,5,15,1000.0,10,08-05-26-123027,0.04479400132742195
23,client19,client19-56fccdb4d9-26bzf,linkerd-proxy,642.1080000000002,exp1,5,15,1000.0,10,08-05-26-123027,0.044764214545750386
23,client19,client19-56fccdb4d9-26bzf,sidecar,640.6409999999996,exp1,5,15,1000.0,10,08-05-26-123027,0.04481180352355793
19,client19,client19-56fccdb4d9-6bvnr,client19,719.2350000000006,exp1,5,15,1000.0,10,10-05-26-111252,0.029973711900275313
19,client19,client19-56fccdb4d9-6bvnr,linkerd-proxy,719.1599999999999,exp1,5,15,1000.0,10,10-05-26-111252,0.029960024994370754
19,client19,client19-56fccdb4d9-6bvnr,sidecar,717.8430000000008,exp1,5,15,1000.0,10,10-05-26-111252,0.029938969400755855
15,client19,client19-56fccdb4d9-p82vr,client19,637.0290000000023,exp1,5,15,1000.0,10,09-05-26-141047,0.04371806989175084
15,client19,client19-56fccdb4d9-p82vr,linkerd-proxy,636.9330000000009,exp1,5,15,1000.0,10,09-05-26-141047,0.043715862728301774
15,client19,client19-56fccdb4d9-p82vr,sidecar,635.5349999999999,exp1,5,15,1000.0,10,09-05-26-141047,0.043746981765782816
23,client2,client2-86cd6d8cf7-2q5bm,client2,979.4100000000036,exp1,5,15,1000.0,10,10-05-26-111252,0.0377778827018635
23,client2,client2-86cd6d8cf7-2q5bm,linkerd-proxy,979.3230000000004,exp1,5,15,1000.0,10,10-05-26-111252,0.03780527827284266
23,client2,client2-86cd6d8cf7-2q5bm,sidecar,977.643,exp1,5,15,1000.0,10,10-05-26-111252,0.03785593305441595
3,client2,client2-86cd6d8cf7-lsds9,client2,705.8939999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.03754583325405003
3,client2,client2-86cd6d8cf7-lsds9,linkerd-proxy,705.663,exp1,5,15,1000.0,10,09-05-26-141047,0.03756003440536901
3,client2,client2-86cd6d8cf7-lsds9,sidecar,704.4119999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.037557737450437056
12,client2,client2-86cd6d8cf7-qqnlc,client2,679.3140000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.03306028354391927
12,client2,client2-86cd6d8cf7-qqnlc,linkerd-proxy,679.2689999999984,exp1,5,15,1000.0,10,08-05-26-123027,0.033038274879019724
12,client2,client2-86cd6d8cf7-qqnlc,sidecar,677.8320000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.033069303913289105
4,client20,client20-65f8864f77-fmg9c,client20,609.8490000000002,exp1,5,15,1000.0,10,08-05-26-123027,0.04298164548191871
4,client20,client20-65f8864f77-fmg9c,linkerd-proxy,609.6990000000001,exp1,5,15,1000.0,10,08-05-26-123027,0.042982610394353665
4,client20,client20-65f8864f77-fmg9c,sidecar,531.489,exp1,5,15,1000.0,10,08-05-26-123027,0.05859402034688621
19,client20,client20-65f8864f77-k76r2,client20,624.8069999999971,exp1,5,15,1000.0,10,10-05-26-111252,0.04583977701716532
19,client20,client20-65f8864f77-k76r2,linkerd-proxy,624.7590000000018,exp1,5,15,1000.0,10,10-05-26-111252,0.045816757654510515
19,client20,client20-65f8864f77-k76r2,sidecar,623.4299999999985,exp1,5,15,1000.0,10,10-05-26-111252,0.04584119675508211
2,client20,client20-65f8864f77-wcw65,client20,690.0929999999998,exp1,5,15,1000.0,10,09-05-26-141047,0.0326044764381106
2,client20,client20-65f8864f77-wcw65,linkerd-proxy,689.8499999999999,exp1,5,15,1000.0,10,09-05-26-141047,0.032626699082317995
2,client20,client20-65f8864f77-wcw65,sidecar,688.5239999999999,exp1,5,15,1000.0,10,09-05-26-141047,0.032610542910806284
20,client3,client3-58c68898cd-8qr24,client3,678.5489999999991,exp1,5,15,1000.0,10,10-05-26-111252,0.037852789967539935
20,client3,client3-58c68898cd-8qr24,linkerd-proxy,678.3060000000005,exp1,5,15,1000.0,10,10-05-26-111252,0.03789755741836004
20,client3,client3-58c68898cd-8qr24,sidecar,676.4879999999976,exp1,5,15,1000.0,10,10-05-26-111252,0.03787769875664143
21,client3,client3-58c68898cd-g6m7b,client3,642.9419999999991,exp1,5,15,1000.0,10,09-05-26-141047,0.04286057509271474
21,client3,client3-58c68898cd-g6m7b,linkerd-proxy,643.0319999999992,exp1,5,15,1000.0,10,09-05-26-141047,0.04281877319473992
21,client3,client3-58c68898cd-g6m7b,sidecar,640.8539999999994,exp1,5,15,1000.0,10,09-05-26-141047,0.042896824048474336
18,client3,client3-58c68898cd-z9nbx,client3,707.3340000000007,exp1,5,15,1000.0,10,08-05-26-123027,0.02927066555020183
18,client3,client3-58c68898cd-z9nbx,linkerd-proxy,707.4209999999985,exp1,5,15,1000.0,10,08-05-26-123027,0.02924026878836622
18,client3,client3-58c68898cd-z9nbx,sidecar,705.1890000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.029287937553076904
5,client4,client4-744474fb99-cmqpf,client4,678.7979999999998,exp1,5,15,1000.0,10,10-05-26-111252,0.0370344635551296
5,client4,client4-744474fb99-cmqpf,linkerd-proxy,678.8430000000008,exp1,5,15,1000.0,10,10-05-26-111252,0.03702108960566233
5,client4,client4-744474fb99-cmqpf,sidecar,676.8329999999996,exp1,5,15,1000.0,10,10-05-26-111252,0.037025253866577956
22,client4,client4-744474fb99-gv789,client4,667.2930000000015,exp1,5,15,1000.0,10,09-05-26-141047,0.03594323798253379
22,client4,client4-744474fb99-gv789,linkerd-proxy,667.0380000000005,exp1,5,15,1000.0,10,09-05-26-141047,0.03598810147574166
22,client4,client4-744474fb99-gv789,sidecar,665.1030000000028,exp1,5,15,1000.0,10,09-05-26-141047,0.0359872566406014
7,client4,client4-744474fb99-q47zg,client4,674.9070000000002,exp1,5,15,1000.0,10,08-05-26-123027,0.03744899482384889
7,client4,client4-744474fb99-q47zg,linkerd-proxy,674.7419999999993,exp1,5,15,1000.0,10,08-05-26-123027,0.03747757311300284
7,client4,client4-744474fb99-q47zg,sidecar,672.6899999999996,exp1,5,15,1000.0,10,08-05-26-123027,0.03749947916974786
19,client5,client5-7d5ff7f8b4-4vqw2,client5,569.5950000000012,exp1,5,15,1000.0,10,08-05-26-123027,0.04463445979163019
19,client5,client5-7d5ff7f8b4-4vqw2,linkerd-proxy,567.5040000000008,exp1,5,15,1000.0,10,08-05-26-123027,0.04445977572610557
6,client5,client5-7d5ff7f8b4-4vqw2,sidecar,515.8079999999991,exp1,5,15,1000.0,10,08-05-26-123027,0.038139656481921136
10,client5,client5-7d5ff7f8b4-8fgvg,client5,593.7870000000003,exp1,5,15,1000.0,10,09-05-26-141047,0.03679061884637283
10,client5,client5-7d5ff7f8b4-8fgvg,linkerd-proxy,591.027,exp1,5,15,1000.0,10,09-05-26-141047,0.03669847716900029
4,client5,client5-7d5ff7f8b4-8fgvg,sidecar,444.915,exp1,5,15,1000.0,10,09-05-26-141047,0.0568277967007699
21,client5,client5-7d5ff7f8b4-twhkj,client5,576.1890000000021,exp1,5,15,1000.0,10,10-05-26-111252,0.04207434000961094
21,client5,client5-7d5ff7f8b4-twhkj,linkerd-proxy,572.2049999999999,exp1,5,15,1000.0,10,10-05-26-111252,0.04234274329245999
10,client5,client5-7d5ff7f8b4-twhkj,sidecar,434.1269999999995,exp1,5,15,1000.0,10,10-05-26-111252,0.060113649136130404
19,client5,maurits-dijk-3efc04ddclient51-5hvmh,hfl-train,1015.0109999999986,exp1,5,15,1000.0,10,08-05-26-123027,0.035734197090146025
19,client5,maurits-dijk-3efc04ddclient51-5hvmh,hfl-train-model,565.3529999999992,exp1,5,15,1000.0,10,08-05-26-123027,0.044521633970238145
7,client5,maurits-dijk-3efc04ddclient51-5hvmh,sidecar,455.91600000000017,exp1,5,15,1000.0,10,08-05-26-123027,0.04687166307859755
21,client5,maurits-dijk-ab40b6adclient51-fpm4g,hfl-train,1036.6230000000032,exp1,5,15,1000.0,10,10-05-26-111252,0.029272797774095027
21,client5,maurits-dijk-ab40b6adclient51-fpm4g,hfl-train-model,569.7750000000015,exp1,5,15,1000.0,10,10-05-26-111252,0.04249295585369339
21,client5,maurits-dijk-ab40b6adclient51-fpm4g,sidecar,503.2259999999988,exp1,5,15,1000.0,10,10-05-26-111252,0.043723492267677244
22,client5,maurits-dijk-ac6ea51cclient51-8vhg7,hfl-train,1064.4659999999967,exp1,5,15,1000.0,10,09-05-26-141047,0.027899188530897373
10,client5,maurits-dijk-ac6ea51cclient51-8vhg7,hfl-train-model,588.6389999999983,exp1,5,15,1000.0,10,09-05-26-141047,0.03676861615233065
10,client5,maurits-dijk-ac6ea51cclient51-8vhg7,sidecar,450.0600000000004,exp1,5,15,1000.0,10,09-05-26-141047,0.05222235697495889
12,client6,client6-785d875985-dwddj,client6,997.0319999999992,exp1,5,15,1000.0,10,09-05-26-141047,0.040638570433296856
12,client6,client6-785d875985-dwddj,linkerd-proxy,996.5819999999984,exp1,5,15,1000.0,10,09-05-26-141047,0.040624108549527554
12,client6,client6-785d875985-dwddj,sidecar,994.5569999999988,exp1,5,15,1000.0,10,09-05-26-141047,0.04075034830501029
5,client6,client6-785d875985-pcl82,client6,654.3959999999997,exp1,5,15,1000.0,10,10-05-26-111252,0.04141777637114483
5,client6,client6-785d875985-pcl82,linkerd-proxy,654.0479999999998,exp1,5,15,1000.0,10,10-05-26-111252,0.0414503280027812
5,client6,client6-785d875985-pcl82,sidecar,652.5269999999991,exp1,5,15,1000.0,10,10-05-26-111252,0.041438701660423655
13,client6,client6-785d875985-zlwj6,client6,654.9390000000003,exp1,5,15,1000.0,10,08-05-26-123027,0.04115018883766086
13,client6,client6-785d875985-zlwj6,linkerd-proxy,654.6959999999999,exp1,5,15,1000.0,10,08-05-26-123027,0.041156733882137
13,client6,client6-785d875985-zlwj6,sidecar,652.6319999999996,exp1,5,15,1000.0,10,08-05-26-123027,0.04122681839284009
21,client7,client7-544486cc98-928vw,client7,662.3160000000025,exp1,5,15,1000.0,10,09-05-26-141047,0.04379608759174361
21,client7,client7-544486cc98-928vw,linkerd-proxy,662.030999999999,exp1,5,15,1000.0,10,09-05-26-141047,0.04379452979878454
